latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,brightness,cluster_label
-3.11573,-40.83577,307.73,0.4,0.37,2025-09-06,414,N,VIIRS,60,2.0NRT,292.8,1.54,N,307.73,5
-3.11234,-40.83524,308.14,0.4,0.37,2025-09-06,414,N,VIIRS,60,2.0NRT,293.16,1.63,N,308.14,4
-2.77659,-41.79985,317.64,0.39,0.36,2025-09-06,414,N,VIIRS,60,2.0NRT,294.18,1.31,N,317.64,4
-2.77604,-41.80331,319.98,0.39,0.36,2025-09-06,414,N,VIIRS,60,2.0NRT,294.26,1.31,N,319.98,5
-2.77326,-41.79934,316.06,0.39,0.36,2025-09-06,414,N,VIIRS,60,2.0NRT,294.17,1.31,N,316.06,4
-2.77271,-41.8028,314.63,0.39,0.36,2025-09-06,414,N,VIIRS,60,2.0NRT,294.1,1.31,N,314.63,5
-2.56177,-47.70116,307.45,0.42,0.45,2025-09-06,414,N,VIIRS,60,2.0NRT,292.63,1.64,N,307.45,4
-2.47185,-47.77306,323.71,0.43,0.46,2025-09-06,414,N,VIIRS,60,2.0NRT,293.02,2.52,N,323.71,4
-2.4712,-47.77697,322.68,0.43,0.46,2025-09-06,414,N,VIIRS,60,2.0NRT,292.92,2.52,N,322.68,4
-17.09568,-43.8051,300.32,0.4,0.37,2025-09-06,417,N,VIIRS,60,2.0NRT,289.03,0.76,N,300.32,4
-17.00822,-43.78334,304.7,0.4,0.37,2025-09-06,417,N,VIIRS,60,2.0NRT,283.81,0.43,N,304.7,4
-16.92366,-45.75197,313.3,0.38,0.36,2025-09-06,417,N,VIIRS,60,2.0NRT,289.63,2.56,N,313.3,4
-16.92308,-45.75558,350.36,0.38,0.36,2025-09-06,417,N,VIIRS,60,2.0NRT,302.79,23.75,N,350.36,4
-16.92251,-45.7592,301.87,0.38,0.36,2025-09-06,417,N,VIIRS,60,2.0NRT,290.41,23.75,N,301.87,4
-16.9209,-45.74779,299.58,0.38,0.36,2025-09-06,417,N,VIIRS,60,2.0NRT,288.56,2.55,N,299.58,4
-16.92033,-45.7514,337.87,0.38,0.36,2025-09-06,417,N,VIIRS,60,2.0NRT,292.84,2.55,N,337.87,4
-16.91975,-45.75501,336.94,0.38,0.36,2025-09-06,417,N,VIIRS,60,2.0NRT,293.81,4.92,N,336.94,4
-16.91758,-45.74722,328.9,0.38,0.36,2025-09-06,417,N,VIIRS,60,2.0NRT,291.86,2.55,N,328.9,4
-16.91425,-45.74664,304.82,0.38,0.36,2025-09-06,417,N,VIIRS,60,2.0NRT,289.91,0.85,N,304.82,4
-16.90426,-45.74492,306.96,0.38,0.36,2025-09-06,417,N,VIIRS,60,2.0NRT,291.28,1.18,N,306.96,4
-16.90093,-45.74435,309.36,0.38,0.36,2025-09-06,417,N,VIIRS,60,2.0NRT,291.59,1.23,N,309.36,4
-16.73704,-43.02076,313.71,0.43,0.38,2025-09-06,417,N,VIIRS,60,2.0NRT,285.19,1.03,N,313.71,4
-16.68667,-44.59064,306.21,0.39,0.36,2025-09-06,417,N,VIIRS,60,2.0NRT,289.3,0.77,N,306.21,4
-16.67987,-43.88421,311.66,0.4,0.37,2025-09-06,417,N,VIIRS,60,2.0NRT,291.34,1.56,N,311.66,4
-16.5497,-42.34987,309.44,0.45,0.39,2025-09-06,417,N,VIIRS,60,2.0NRT,289.02,2.06,N,309.44,4
-16.54669,-42.34526,321.57,0.45,0.39,2025-09-06,417,N,VIIRS,60,2.0NRT,290.55,2.34,N,321.57,4
-16.5461,-42.3494,326.1,0.45,0.39,2025-09-06,417,N,VIIRS,60,2.0NRT,290.83,2.06,N,326.1,4
-16.42196,-47.82328,300.58,0.43,0.38,2025-09-06,417,N,VIIRS,60,2.0NRT,288.73,1.61,N,300.58,4
-16.41846,-47.82267,320.98,0.43,0.38,2025-09-06,417,N,VIIRS,60,2.0NRT,288.14,1.61,N,320.98,4
-16.40923,-45.6503,302.1,0.38,0.36,2025-09-06,417,N,VIIRS,60,2.0NRT,289.62,0.79,N,302.1,4
-16.31117,-45.69252,306.69,0.39,0.36,2025-09-06,417,N,VIIRS,60,2.0NRT,289.83,1.15,N,306.69,4
-16.3106,-45.69613,308.73,0.39,0.36,2025-09-06,417,N,VIIRS,60,2.0NRT,289.89,1.33,N,308.73,4
-16.30784,-45.69195,325.02,0.39,0.36,2025-09-06,417,N,VIIRS,60,2.0NRT,295.74,2.54,N,325.02,4
-16.30451,-45.69138,331.67,0.39,0.36,2025-09-06,417,N,VIIRS,60,2.0NRT,297.31,2.54,N,331.67,4
-16.30118,-45.69081,334.38,0.39,0.36,2025-09-06,417,N,VIIRS,60,2.0NRT,301.67,2.86,N,334.38,4
-16.29785,-45.69024,314.35,0.39,0.36,2025-09-06,417,N,VIIRS,60,2.0NRT,293.02,2.86,N,314.35,4
-16.29509,-45.68606,328.87,0.38,0.36,2025-09-06,417,N,VIIRS,60,2.0NRT,295.35,2.45,N,328.87,4
-16.29452,-45.68967,306.89,0.39,0.36,2025-09-06,417,N,VIIRS,60,2.0NRT,290.1,2.45,N,306.89,4
-16.29176,-45.6855,337.29,0.38,0.36,2025-09-06,417,N,VIIRS,60,2.0NRT,294.36,2.45,N,337.29,4
-16.29119,-45.6891,304.15,0.39,0.36,2025-09-06,417,N,VIIRS,60,2.0NRT,286.92,2.45,N,304.15,4
-16.28168,-43.37869,306.72,0.41,0.37,2025-09-06,417,N,VIIRS,60,2.0NRT,290.0,0.77,N,306.72,4
-16.09835,-45.17309,300.2,0.38,0.36,2025-09-06,417,N,VIIRS,60,2.0NRT,289.32,0.62,N,300.2,4
-15.98386,-42.38696,315.72,0.44,0.39,2025-09-06,417,N,VIIRS,60,2.0NRT,286.34,1.92,N,315.72,4
-15.9803,-42.38634,318.55,0.44,0.39,2025-09-06,417,N,VIIRS,60,2.0NRT,287.76,1.92,N,318.55,4
-15.85743,-52.31028,310.93,0.51,0.49,2025-09-06,417,N,VIIRS,60,2.0NRT,287.89,1.39,N,310.93,4
-15.85684,-52.2887,328.92,0.51,0.49,2025-09-06,417,N,VIIRS,60,2.0NRT,289.9,2.05,N,328.92,4
-15.85291,-52.30917,309.06,0.51,0.49,2025-09-06,417,N,VIIRS,60,2.0NRT,287.49,1.39,N,309.06,4
-15.85238,-52.28733,328.41,0.51,0.49,2025-09-06,417,N,VIIRS,60,2.0NRT,294.36,7.27,N,328.41,4
-15.84877,-52.28155,304.98,0.51,0.49,2025-09-06,417,N,VIIRS,60,2.0NRT,290.6,4.42,N,304.98,4
-15.84788,-52.28621,342.76,0.51,0.49,2025-09-06,417,N,VIIRS,60,2.0NRT,294.77,7.27,N,342.76,4
-15.84573,-52.29741,306.55,0.51,0.49,2025-09-06,417,N,VIIRS,60,2.0NRT,292.97,3.15,N,306.55,4
-15.84429,-52.28032,312.02,0.51,0.49,2025-09-06,417,N,VIIRS,60,2.0NRT,292.79,3.23,N,312.02,4
-15.84329,-52.28553,339.06,0.51,0.49,2025-09-06,417,N,VIIRS,60,2.0NRT,294.32,3.94,N,339.06,4
-15.84221,-52.29112,310.21,0.51,0.49,2025-09-06,417,N,VIIRS,60,2.0NRT,290.69,3.94,N,310.21,4
-15.71293,-46.24775,305.46,0.39,0.36,2025-09-06,417,N,VIIRS,60,2.0NRT,288.21,0.72,N,305.46,4
-15.67,-45.88857,321.39,0.39,0.36,2025-09-06,417,N,VIIRS,60,2.0NRT,290.02,1.29,N,321.39,4
-15.64371,-41.85482,301.19,0.46,0.39,2025-09-06,417,N,VIIRS,60,2.0NRT,285.92,0.85,N,301.19,4
-15.63945,-41.8586,308.67,0.46,0.39,2025-09-06,417,N,VIIRS,60,2.0NRT,286.65,1.11,N,308.67,4
-15.63581,-41.85804,304.77,0.46,0.39,2025-09-06,417,N,VIIRS,60,2.0NRT,286.06,0.87,N,304.77,4
-15.63216,-41.85746,304.25,0.46,0.39,2025-09-06,417,N,VIIRS,60,2.0NRT,286.23,0.87,N,304.25,4
-15.60831,-48.24568,301.16,0.45,0.39,2025-09-06,417,N,VIIRS,60,2.0NRT,288.67,1.28,N,301.16,4
-15.57056,-47.85637,302.73,0.44,0.38,2025-09-06,417,N,VIIRS,60,2.0NRT,291.25,1.36,N,302.73,4
-15.54844,-49.81549,301.73,0.54,0.42,2025-09-06,417,N,VIIRS,60,2.0NRT,287.32,1.8,N,301.73,4
-15.54754,-49.82053,345.23,0.55,0.42,2025-09-06,417,N,VIIRS,60,2.0NRT,293.36,14.24,N,345.23,4
-15.54532,-48.39406,310.21,0.46,0.39,2025-09-06,417,N,VIIRS,60,2.0NRT,291.48,2.04,N,310.21,4
-15.54498,-48.39622,321.46,0.46,0.39,2025-09-06,417,N,VIIRS,60,2.0NRT,292.68,2.74,N,321.46,4
-15.54456,-48.3984,313.85,0.46,0.39,2025-09-06,417,N,VIIRS,60,2.0NRT,291.42,2.62,N,313.85,4
